experiment_id,dataset,seed,rank,eta,observable_policy,accuracy,macro_f1,runtime_seconds,entanglement_entropy_proxy,did_interaction_delta,pareto_utility_J_eta
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,7,48,1.0,did_summary,,,,0.8,-0.011111111111111072,0.7482783889770508
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.0,fixed_pauli_subset,0.9555555555555556,0.955436597494767,0.0639193058013916,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.0,greedy_operator_optimized,0.9555555555555556,0.955436597494767,0.07764101028442383,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.25,fixed_pauli_subset,0.9527777777777777,0.9525149074185304,0.09440445899963379,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.25,greedy_operator_optimized,0.95,0.9497459459956084,0.013101816177368164,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.5,fixed_pauli_subset,0.9527777777777777,0.9525149074185304,0.014826774597167969,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.5,greedy_operator_optimized,0.95,0.9497459459956084,0.011783361434936523,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.75,fixed_pauli_subset,0.9472222222222222,0.947049768933234,0.011759042739868164,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.75,greedy_operator_optimized,0.9472222222222222,0.947049768933234,0.01192021369934082,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,1.0,fixed_pauli_subset,0.9416666666666667,0.9414454378581331,0.021722793579101562,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,1.0,greedy_operator_optimized,0.9361111111111111,0.9358565671043,0.0164642333984375,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.0,did_summary,,,,0.0,0.0,0.9541399523946974
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.25,did_summary,,,,0.2,-0.002777777777777768,0.9489249372482299
