experiment_id,dataset,seed,rank,model,accuracy,macro_f1,negative_log_likelihood,ece_15bin,brier_score,runtime_seconds,wall_clock_seconds,peak_memory_mb
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,16,qrc_nonent,0.8222222222222222,0.821997866477926,0.605213245695919,0.044986007996459444,0.2500529781097071,0.09955239295959473,0.09955239295959473,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,qrc_ent,0.8277777777777777,0.8261914064435704,0.5685275146677042,0.03704603767322583,0.2581826662497432,0.1234426498413086,0.1234426498413086,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,esn,0.3333333333333333,0.3220523818100999,1.947352968019651,0.06622894279262258,0.7989226115764194,0.12063336372375488,0.12063336372375488,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,random_feature_reservoir,0.20555555555555555,0.1944231306504213,2.1863269677580064,0.07725529577647332,0.8564323337901927,0.06644535064697266,0.06644535064697266,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,rbf_kernel,0.5472222222222223,0.5844934545372823,2.108864425739954,0.40647363582439555,0.8401633688614283,0.22848176956176758,0.22848176956176758,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,rff_ridge,0.16111111111111112,0.15170224520137893,2.2740103159399516,0.07613715781912547,0.8835324361328984,0.11725330352783203,0.11725330352783203,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,logistic_pca,0.8277777777777777,0.8273244199285047,0.5794670578051095,0.03131527160385222,0.2536462077648,0.04360246658325195,0.04360246658325195,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,mlp,0.8333333333333334,0.8333119380759829,0.6062860814630273,0.10080216184314247,0.2661116758900442,0.05804634094238281,0.05804634094238281,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,24,qrc_nonent,0.8388888888888889,0.8384007655489295,0.5660019448524931,0.032666195287929065,0.24636460669424176,0.08570718765258789,0.08570718765258789,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,qrc_ent,0.8027777777777778,0.8033569280980595,0.6341769660619897,0.044536826091658696,0.286874828021863,0.12453722953796387,0.12453722953796387,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,esn,0.24444444444444444,0.2398730332088837,2.1582348168279912,0.04852647203158215,0.8617957347909903,0.17688345909118652,0.17688345909118652,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,random_feature_reservoir,0.15555555555555556,0.14671465643050613,2.283328123947982,0.08683686922321951,0.8888773588115447,0.1258230209350586,0.1258230209350586,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,rbf_kernel,0.29444444444444445,0.30425169584198014,2.2188737633485114,0.17903489597127234,0.8758509791012764,0.25225830078125,0.25225830078125,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,rff_ridge,0.15833333333333333,0.14909875156413258,2.2954127735011904,0.03877514219584078,0.8946058449508639,0.2293987274169922,0.2293987274169922,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,logistic_pca,0.8388888888888889,0.8393008851746027,0.5950214646751213,0.030134000379141452,0.2521029287914862,0.08565402030944824,0.08565402030944824,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,mlp,0.8472222222222222,0.8482614761768803,0.5719813141660087,0.11698496539931566,0.24716760026972415,0.06592321395874023,0.06592321395874023,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,32,qrc_nonent,0.8166666666666667,0.8169690013128743,0.5946196298087602,0.055131265212434465,0.26900348451959477,0.10579919815063477,0.10579919815063477,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,qrc_ent,0.75,0.7481472285017301,0.8154931625956152,0.06912937056015987,0.3493673576801288,0.11741900444030762,0.11741900444030762,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,esn,0.15555555555555556,0.14397786532518908,2.305226467546758,0.047268809116649504,0.8972697962767298,0.263824462890625,0.263824462890625,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,random_feature_reservoir,0.12777777777777777,0.12749969913258602,2.365418890562884,0.06882120983806561,0.9122034422865675,0.06585121154785156,0.06585121154785156,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,rbf_kernel,0.1638888888888889,0.10918387894259207,2.2845185632715386,0.06038423088310821,0.895660703220479,0.16480612754821777,0.16480612754821777,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,rff_ridge,0.11944444444444445,0.11973910534782894,2.384050763850765,0.07211632498242483,0.9148043762792519,0.13266754150390625,0.13266754150390625,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,logistic_pca,0.8194444444444444,0.8185555910486746,0.6791169602816785,0.06002192453721897,0.26923493673440313,0.08261728286743164,0.08261728286743164,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,mlp,0.8222222222222222,0.8217099025264474,0.6046061473682747,0.0961051343563267,0.2671413870174202,0.0702829360961914,0.0702829360961914,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,11,48,qrc_nonent,0.7583333333333333,0.7579732583486269,0.8270725265803902,0.0399146563917881,0.3470280755930238,0.0747232437133789,0.0747232437133789,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,19,8,qrc_ent,0.8138888888888889,0.8134476306894441,0.5141203632102751,0.07496553537741164,0.250828190578125,0.10123586654663086,0.10123586654663086,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,19,8,esn,0.7638888888888888,0.764496060861615,0.8081191040050355,0.14360210945741933,0.36894503884996604,0.0569305419921875,0.0569305419921875,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,19,8,random_feature_reservoir,0.7916666666666666,0.7916501424445592,0.8735213700385211,0.26404223541267086,0.38739861835577943,0.11099624633789062,0.11099624633789062,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,19,8,rbf_kernel,0.825,0.8238811789689393,0.8246355403597562,0.28945111889445474,0.3607820648694545,0.29109644889831543,0.29109644889831543,0.0
EXP_SIM_1_PARITY_PCA_REGIME,MNIST,19,8,rff_ridge,0.7194444444444444,0.7212669047458711,1.2662271558921332,0.33736248711123756,0.5494232170122738,0.18804478645324707,0.18804478645324707,0.0
